contest,candidate,name,votes
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,RUGGS LAKE,35
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,RUGGS LAKE,35
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,WELCH,107
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,WELCH,140
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,FALLS,5
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,FALLS,17
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,FOUR CORNERS,128
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,FOUR CORNERS,122
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,KNOX,7
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,KNOX,11
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,MORNING RISE,83
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,MORNING RISE,80
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,SLIVER(*),0
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,SLIVER(*),0
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,KENSINGTON,62
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,KENSINGTON,93
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,SILER,43
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,SILER,57
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,GLEN ACRES(*),0
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,GLEN ACRES(*),0
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,OVERLOOK,80
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,OVERLOOK,82
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,SOFIE,51
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,SOFIE,44
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,WEST FORK,16
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,WEST FORK,28
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,PILCHUCK RIVER,7
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,PILCHUCK RIVER,5
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,RICHLAND,55
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,RICHLAND,35
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,SYLVAN,6
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,SYLVAN,16
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,FRANSSON,40
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,FRANSSON,22
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,LAKEDALE,79
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,LAKEDALE,55
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,EVERGREEN VIEW,66
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,EVERGREEN VIEW,51
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,MERO,51
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,MERO,65
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,CUTOFF,11
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,CUTOFF,2
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,RICHARDSON,61
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,RICHARDSON,92
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,NOTTINGHAM,81
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,NOTTINGHAM,91
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,RIVIERA,30
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,RIVIERA,69
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,CAVALERO,6
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,CAVALERO,15
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,TROUT,50
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,TROUT,64
COUNTY COUNCIL DISTRICT 5 Council District 5,Kelli Johnson,FOREST GLADE,44
COUNTY COUNCIL DISTRICT 5 Council District 5,Sam Low,FOREST GLADE,83
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS  1,94
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS  1,11
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS  1,165
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS  2,86
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS  2,32
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS  2,203
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS  3,128
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS  3,27
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS  3,174
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS  4,108
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS  4,13
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS  4,111
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS  5,66
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS  5,14
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS  5,84
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS  6,136
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS  6,19
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS  6,156
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS  7,141
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS  7,30
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS  7,185
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS  8,149
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS  8,36
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS  8,207
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS  9,69
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS  9,19
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS  9,118
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 10,126
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 10,22
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 10,163
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 13,147
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 13,34
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 13,125
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 14,71
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 14,20
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 14,59
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 15,74
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 15,31
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 15,79
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 16,97
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 16,21
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 16,49
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 17,105
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 17,15
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 17,110
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 18,70
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 18,15
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 18,43
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 19,105
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 19,16
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 19,54
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 22,86
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 22,10
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 22,148
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 23,87
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 23,36
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 23,167
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 25,75
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 25,11
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 25,104
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 27,80
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 27,31
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 27,101
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 28,131
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 28,23
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 28,120
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 29,103
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 29,52
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 29,87
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 30,94
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 30,23
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 30,97
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 31,101
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 31,17
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 31,92
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 32,119
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 32,17
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 32,87
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 33,91
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 33,15
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 33,92
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 34,105
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 34,13
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 34,111
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 35,76
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 35,13
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 35,121
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 36,66
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 36,18
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 36,107
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 37,95
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 37,14
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 37,105
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 12,56
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 12,17
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 12,90
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 21,105
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 21,15
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 21,136
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 24,60
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 24,5
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 24,75
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 26,78
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 26,18
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 26,68
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 38,97
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 38,31
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 38,130
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 39,115
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 39,28
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 39,195
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 40,107
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 40,22
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 40,87
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 41,66
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 41,6
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 41,69
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 42,83
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 42,20
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 42,66
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 43,101
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 43,45
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 43,150
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 44,117
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 44,24
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 44,112
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 45,91
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 45,14
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 45,80
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 46,146
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 46,34
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 46,288
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 47,52
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 47,12
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 47,48
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 48,85
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 48,19
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 48,88
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 49,80
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 49,15
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 49,79
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 50,64
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 50,14
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 50,46
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 51,65
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 51,15
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 51,91
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 52,108
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 52,66
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 52,73
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 11,175
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 11,28
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 11,175
CITY OF EDMONDS Council Position 3,Alex Newman,EDMONDS 53,27
CITY OF EDMONDS Council Position 3,Joseph Ademofe,EDMONDS 53,6
CITY OF EDMONDS Council Position 3,Erika Barnett,EDMONDS 53,27
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT   1,83
CITY OF EVERETT Mayor,Scott Murphy,EVERETT   1,183
CITY OF EVERETT Mayor,Rich Ryan,EVERETT   1,2
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT   1,43
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT   2,91
CITY OF EVERETT Mayor,Scott Murphy,EVERETT   2,118
CITY OF EVERETT Mayor,Rich Ryan,EVERETT   2,1
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT   2,57
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT   3,62
CITY OF EVERETT Mayor,Scott Murphy,EVERETT   3,65
CITY OF EVERETT Mayor,Rich Ryan,EVERETT   3,1
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT   3,50
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT   4,73
CITY OF EVERETT Mayor,Scott Murphy,EVERETT   4,129
CITY OF EVERETT Mayor,Rich Ryan,EVERETT   4,1
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT   4,70
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT   6,63
CITY OF EVERETT Mayor,Scott Murphy,EVERETT   6,57
CITY OF EVERETT Mayor,Rich Ryan,EVERETT   6,4
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT   6,48
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT   8,66
CITY OF EVERETT Mayor,Scott Murphy,EVERETT   8,65
CITY OF EVERETT Mayor,Rich Ryan,EVERETT   8,11
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT   8,68
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  11,118
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  11,165
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  11,0
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  11,71
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  12,64
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  12,66
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  12,10
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  12,64
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  13,93
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  13,55
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  13,7
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  13,73
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  14,94
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  14,45
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  14,6
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  14,72
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  15,107
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  15,61
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  15,5
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  15,71
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  16,59
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  16,54
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  16,6
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  16,71
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  17,73
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  17,62
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  17,5
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  17,73
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  18,46
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  18,41
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  18,7
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  18,47
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  19,60
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  19,36
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  19,10
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  19,80
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  20,80
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  20,68
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  20,4
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  20,77
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  21,90
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  21,97
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  21,6
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  21,81
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  22,90
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  22,65
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  22,2
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  22,81
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  24,76
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  24,75
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  24,3
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  24,50
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  25,106
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  25,57
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  25,7
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  25,68
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  26,120
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  26,146
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  26,5
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  26,80
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  27,80
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  27,60
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  27,2
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  27,60
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  28,61
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  28,55
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  28,4
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  28,42
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  29,52
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  29,68
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  29,7
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  29,30
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  31,45
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  31,50
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  31,5
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  31,43
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  32,58
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  32,80
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  32,3
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  32,55
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  33,80
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  33,101
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  33,10
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  33,54
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  34,35
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  34,46
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  34,9
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  34,44
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  36,65
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  36,48
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  36,14
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  36,42
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  37,77
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  37,80
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  37,8
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  37,57
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  38,15
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  38,20
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  38,2
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  38,5
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  39,64
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  39,52
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  39,8
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  39,48
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  40,36
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  40,25
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  40,2
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  40,15
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  41,63
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  41,62
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  41,4
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  41,36
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  42,38
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  42,52
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  42,5
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  42,27
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  43,26
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  43,42
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  43,7
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  43,25
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  44,42
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  44,43
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  44,3
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  44,34
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  45,36
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  45,34
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  45,5
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  45,53
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  48,36
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  48,59
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  48,3
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  48,37
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  49,65
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  49,110
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  49,1
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  49,37
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  50,60
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  50,76
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  50,3
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  50,48
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  51,42
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  51,108
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  51,2
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  51,34
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  53,67
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  53,131
CITY OF EVERETT Mayor,Rich Ryan,EVERETT  53,6
CITY OF EVERETT Mayor,Janice R. Greene,EVERETT  53,19
CITY OF EVERETT Mayor,Cassie Franklin,EVERETT  54,42
CITY OF EVERETT Mayor,Scott Murphy,EVERETT  54,104
